date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:36:13	761886/761886	---M-Z	200	added ('OK')	text/javascript	date:Sat,%2006%20May%202023%2022:17:31%20GMT	https://synthgliders.com/_next/static/chunks/pages/_app-632d8e3b1746b77d856e.js	C:/My%20Web%20Sites/BASLIYORUZ/synthgliders.com/_next/static/chunks/pages/_app-632d8e3b1746b77d856e.js	(from https://synthgliders.com/)
11:36:14	31521/31521	---M--	200	added ('OK')	image/png	date:Sat,%2006%20May%202023%2022:17:31%20GMT	https://synthgliders.com/images.ctfassets.net/9tpgu2u9anrt/2yT7jLQP8aFscZnYXzP0xo/c8d724fa1875112179268cde99c1024c/Duke_selected.png	C:/My%20Web%20Sites/BASLIYORUZ/synthgliders.com/images.ctfassets.net/9tpgu2u9anrt/2yT7jLQP8aFscZnYXzP0xo/c8d724fa1875112179268cde99c1024c/Duke_selected.png	(from https://synthgliders.com/)
11:36:15	14550/14550	---M--	200	added ('OK')	image/png	date:Sat,%2006%20May%202023%2022:17:31%20GMT	https://synthgliders.com/images.ctfassets.net/9tpgu2u9anrt/2P7KTex2hr13UVtrGPtWqv/6f938683406504e4eb4be9113058b1d8/Eris_thumb_B.png	C:/My%20Web%20Sites/BASLIYORUZ/synthgliders.com/images.ctfassets.net/9tpgu2u9anrt/2P7KTex2hr13UVtrGPtWqv/6f938683406504e4eb4be9113058b1d8/Eris_thumb_B.png	(from https://synthgliders.com/)
11:36:16	18270/18270	---M--	200	added ('OK')	image/png	date:Sat,%2006%20May%202023%2022:17:31%20GMT	https://synthgliders.com/images.ctfassets.net/9tpgu2u9anrt/3njs07yyHdFLzAooqBNQqo/94134fdc425f7eb294315bf9d5625543/Finn_thumb_B.png	C:/My%20Web%20Sites/BASLIYORUZ/synthgliders.com/images.ctfassets.net/9tpgu2u9anrt/3njs07yyHdFLzAooqBNQqo/94134fdc425f7eb294315bf9d5625543/Finn_thumb_B.png	(from https://synthgliders.com/)
11:36:16	14226/14226	---M--	200	added ('OK')	image/png	date:Sat,%2006%20May%202023%2022:17:31%20GMT	https://synthgliders.com/images.ctfassets.net/9tpgu2u9anrt/6ghdSGX1NceR3edLPDF3Eg/4d78f14c4753bdc8615963f3d3cc7f1d/Bob_thumb_B.png	C:/My%20Web%20Sites/BASLIYORUZ/synthgliders.com/images.ctfassets.net/9tpgu2u9anrt/6ghdSGX1NceR3edLPDF3Eg/4d78f14c4753bdc8615963f3d3cc7f1d/Bob_thumb_B.png	(from https://synthgliders.com/)
11:36:20	155774/155774	---M-Z	200	added ('OK')	image/jpeg	date:Sat,%2006%20May%202023%2022:17:31%20GMT	https://synthgliders.com/images.ctfassets.net/9tpgu2u9anrt/1DteZrL1bScvE27IcYtmAn/b45e84969732b917debaed0145922fdb/SP_thumb87a987a9.jpg?q=60&w=3840	C:/My%20Web%20Sites/BASLIYORUZ/synthgliders.com/images.ctfassets.net/9tpgu2u9anrt/1DteZrL1bScvE27IcYtmAn/b45e84969732b917debaed0145922fdb/SP_thumb87a987a987a9.jpg	(from https://synthgliders.com/)
11:36:21	93243/93243	---M--	200	added ('OK')	image/png	date:Sat,%2006%20May%202023%2022:17:31%20GMT	https://synthgliders.com/images.ctfassets.net/9tpgu2u9anrt/70VS7j9FwTVsb3jlQHo450/49448a6ad193f1edbd9f0b6df6a1855a/Bob_sml.png	C:/My%20Web%20Sites/BASLIYORUZ/synthgliders.com/images.ctfassets.net/9tpgu2u9anrt/70VS7j9FwTVsb3jlQHo450/49448a6ad193f1edbd9f0b6df6a1855a/Bob_sml.png	(from https://synthgliders.com/)
11:36:26	120702/120702	---M-Z	200	added ('OK')	image/png	date:Sat,%2006%20May%202023%2022:17:31%20GMT	https://synthgliders.com/images.ctfassets.net/9tpgu2u9anrt/4wu3NvsXka74OQtVYaSrZr/b2ca4559922a5b8d1338a7489958e2e3/Bob-Pattern.png	C:/My%20Web%20Sites/BASLIYORUZ/synthgliders.com/images.ctfassets.net/9tpgu2u9anrt/4wu3NvsXka74OQtVYaSrZr/b2ca4559922a5b8d1338a7489958e2e3/Bob-Pattern.png	(from https://synthgliders.com/)
11:36:27	74381/74381	---M-Z	200	added ('OK')	image/png	date:Sat,%2006%20May%202023%2022:17:31%20GMT	https://synthgliders.com/images.ctfassets.net/9tpgu2u9anrt/6BqPw79yWmOcanCtHB0oYH/795c99be6b8708b280d1c65538840e13/Duke_sml.png	C:/My%20Web%20Sites/BASLIYORUZ/synthgliders.com/images.ctfassets.net/9tpgu2u9anrt/6BqPw79yWmOcanCtHB0oYH/795c99be6b8708b280d1c65538840e13/Duke_sml.png	(from https://synthgliders.com/)
11:36:32	85119/85119	---M-Z	200	added ('OK')	image/png	date:Sat,%2006%20May%202023%2022:17:31%20GMT	https://synthgliders.com/images.ctfassets.net/9tpgu2u9anrt/1634uWJOJPs3YJn2hi7jPM/cecfdeca97ed1e69dd537129bd3271db/Eris_sml.png	C:/My%20Web%20Sites/BASLIYORUZ/synthgliders.com/images.ctfassets.net/9tpgu2u9anrt/1634uWJOJPs3YJn2hi7jPM/cecfdeca97ed1e69dd537129bd3271db/Eris_sml.png	(from https://synthgliders.com/)
11:36:37	135686/135686	---M-Z	200	added ('OK')	image/png	date:Sat,%2006%20May%202023%2022:17:31%20GMT	https://synthgliders.com/images.ctfassets.net/9tpgu2u9anrt/2OxgGUruKfk2qrjeSrxB5L/72070515fee3aedbaa55cf74b9edf1e6/Eris-Pattern.png	C:/My%20Web%20Sites/BASLIYORUZ/synthgliders.com/images.ctfassets.net/9tpgu2u9anrt/2OxgGUruKfk2qrjeSrxB5L/72070515fee3aedbaa55cf74b9edf1e6/Eris-Pattern.png	(from https://synthgliders.com/)
11:36:43	129325/129325	---M-Z	200	added ('OK')	image/png	date:Sat,%2006%20May%202023%2022:17:31%20GMT	https://synthgliders.com/images.ctfassets.net/9tpgu2u9anrt/78KBXQFSW3bczOrVQqdWYT/ee2e74bc9098b40442c1e770fc9207b3/Duke_Full_B.png	C:/My%20Web%20Sites/BASLIYORUZ/synthgliders.com/images.ctfassets.net/9tpgu2u9anrt/78KBXQFSW3bczOrVQqdWYT/ee2e74bc9098b40442c1e770fc9207b3/Duke_Full_B.png	(from https://synthgliders.com/)
11:36:46	37382/37382	---M-Z	200	added ('OK')	image/jpeg	date:Sat,%2006%20May%202023%2022:17:31%20GMT	https://synthgliders.com/images.ctfassets.net/9tpgu2u9anrt/6LAR2nqpbdId5M4JQrT9RE/9c7d8827b5e322e232ab49030172ac9e/bg3_PLACEHOLDER50cd50cd.jpg?q=50&w=3840	C:/My%20Web%20Sites/BASLIYORUZ/synthgliders.com/images.ctfassets.net/9tpgu2u9anrt/6LAR2nqpbdId5M4JQrT9RE/9c7d8827b5e322e232ab49030172ac9e/bg3_PLACEHOLDER50cd50cd50cd.jpg	(from https://synthgliders.com/)
